lat,lon,pga_475_median,pga_475_84,pga_475_mean,pga_975_median,pga_975_84,pga_975_mean,pga_2475_median,pga_2475_84,pga_2475_mean
47.7,8.8,0.5042,0.7853,0.5782,0.742,1.1308,0.8647,1.175,1.7841,1.3714
47.7,8.9,0.5045,0.7954,0.5839,0.7526,1.1652,0.8726,1.1751,1.8187,1.3818
47.7,9,0.5233,0.7853,0.5863,0.7624,1.1343,0.8756,1.1751,1.81,1.3835
47.7,9.1,0.5047,0.7645,0.5813,0.7624,1.1274,0.8663,1.175,1.7596,1.3668
47.7,9.2,0.5041,0.7578,0.569,0.7381,1.0908,0.8456,1.1386,1.7024,1.3315
47.7,9.3,0.4746,0.7312,0.5468,0.7159,1.0554,0.8111,1.1263,1.6471,1.2771
47.7,9.4,0.4556,0.705,0.5205,0.667,0.9882,0.7695,1.066,1.542,1.2106
47.7,9.5,0.431,0.655,0.4911,0.6407,0.9262,0.7248,1.0036,1.4435,1.1402
47.7,9.6,0.3985,0.6078,0.4567,0.5844,0.868,0.6729,0.9352,1.333,1.0598
47.7,9.7,0.3765,0.564,0.4268,0.5517,0.8193,0.6264,0.8818,1.2645,0.9894
47.7,9.8,0.3542,0.5234,0.4013,0.5282,0.7624,0.5865,0.8151,1.1668,0.9205
47.7,9.9,0.3374,0.521,0.3835,0.4933,0.7381,0.5586,0.768,1.1263,0.8712
47.7,10,0.3254,0.5038,0.3709,0.4757,0.7153,0.5398,0.7419,1.1078,0.8407
47.7,10.1,0.3245,0.5037,0.3652,0.4682,0.7145,0.5324,0.7228,1.0943,0.831
47.7,10.2,0.3236,0.5038,0.3668,0.4614,0.7146,0.5369,0.7259,1.0987,0.8422
47.7,10.3,0.3374,0.521,0.3737,0.4933,0.74,0.5501,0.7499,1.153,0.8686
47.7,10.4,0.3481,0.5234,0.3846,0.5024,0.769,0.5699,0.8,1.2127,0.9066
47.7,10.5,0.3587,0.5433,0.3986,0.5283,0.7969,0.5938,0.8402,1.2515,0.9504
47.7,10.6,0.3684,0.5641,0.414,0.5518,0.8258,0.6197,0.8818,1.3073,0.9969
47.7,10.7,0.391,0.5855,0.4294,0.5844,0.8558,0.6441,0.9223,1.3513,1.034
47.7,10.8,0.3985,0.5972,0.4405,0.5946,0.8868,0.6609,0.9408,1.3966,1.0577
47.7,10.9,0.3985,0.6078,0.4494,0.5946,0.898,0.6735,0.9408,1.4083,1.0742
47.7,11,0.3985,0.6228,0.455,0.5946,0.919,0.6807,0.969,1.4195,1.0832
47.7,11.1,0.3985,0.631,0.4586,0.5946,0.9323,0.6852,0.969,1.442,1.0891
47.7,11.2,0.3985,0.631,0.4621,0.5945,0.9323,0.6901,0.9408,1.4544,1.0964
47.7,11.3,0.3985,0.6309,0.4663,0.5945,0.919,0.696,0.9408,1.4434,1.1057
47.7,11.4,0.4018,0.631,0.472,0.5946,0.9322,0.704,0.9541,1.4543,1.1179
